Scientific name,Status url,Primary common name,Class,Order,Family,Global conservation status rank,State conservation status rank,Federal protection,State protection,Species of greatest conservation need,Track status code,Animal / Plant,Guide url,NatureServe Explorer
Callophrys hesseli,https://guides.nynhp.org/status/2.110485/,Hessel's Hairstreak,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)","Lycaenidae (Blues, Coppers, Hairstreaks, Elfins)",G3,S1,,Endangered,Yes (high priority),Y,A,https://guides.nynhp.org/hessels-hairstreak/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.110485/Callophrys_hesseli/
Callophrys irus,https://guides.nynhp.org/status/2.116737/,Frosted Elfin,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)","Lycaenidae (Blues, Coppers, Hairstreaks, Elfins)",G3,S1S2,,Threatened,Yes (high priority),Y,A,https://guides.nynhp.org/frosted-elfin/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.116737/Callophrys_irus/
Callophrys lanoraieensis,https://guides.nynhp.org/status/2.112116/,Bog Elfin,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)","Lycaenidae (Blues, Coppers, Hairstreaks, Elfins)",G4G5,S1,,,,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.112116/Callophrys_lanoraieensis/
Callophrys niphon,https://guides.nynhp.org/status/2.114395/,Eastern Pine Elfin,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)","Lycaenidae (Blues, Coppers, Hairstreaks, Elfins)",G5,S5,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.114395/Callophrys_niphon/
Callophrys polios,https://guides.nynhp.org/status/2.110671/,Hoary Elfin,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)","Lycaenidae (Blues, Coppers, Hairstreaks, Elfins)",G5,S4,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.110671/Callophrys_polios/
Calonectris borealis,https://guides.nynhp.org/status/2.1332199/,Cory's Shearwater,Aves (Birds),Procellariiformes,Procellariidae,GNR,SNRN,,Protected Bird,Yes,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1332199/Calonectris_borealis/
Calopteryx aequabilis,https://guides.nynhp.org/status/2.120644/,River Jewelwing,Insecta (Insects),Odonata (Dragonflies and Damselflies),Calopterygidae (Broad-winged Damsels),G5,S3S4,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.120644/Calopteryx_aequabilis/
Calopteryx amata,https://guides.nynhp.org/status/2.109436/,Superb Jewelwing,Insecta (Insects),Odonata (Dragonflies and Damselflies),Calopterygidae (Broad-winged Damsels),G5,S3,,,,W,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.109436/Calopteryx_amata/
Calopteryx angustipennis,https://guides.nynhp.org/status/2.120200/,Appalachian Jewelwing,Insecta (Insects),Odonata (Dragonflies and Damselflies),Calopterygidae (Broad-winged Damsels),G4,SH,,,,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.120200/Calopteryx_angustipennis/
Calopteryx dimidiata,https://guides.nynhp.org/status/2.109440/,Sparkling Jewelwing,Insecta (Insects),Odonata (Dragonflies and Damselflies),Calopterygidae (Broad-winged Damsels),G5,SH,,,,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.109440/Calopteryx_dimidiata/
Calopteryx maculata,https://guides.nynhp.org/status/2.107355/,Ebony Jewelwing,Insecta (Insects),Odonata (Dragonflies and Damselflies),Calopterygidae (Broad-winged Damsels),G5,S5,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.107355/Calopteryx_maculata/
Calpodes ethlius,https://guides.nynhp.org/status/2.111026/,Brazilian Skipper,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)",Hesperiidae (Skippers),G5,SNA,,,,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.111026/Calpodes_ethlius/
Calycopis cecrops,https://guides.nynhp.org/status/2.116822/,Red-banded Hairstreak,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)","Lycaenidae (Blues, Coppers, Hairstreaks, Elfins)",G5,SU,,,,Y,A,https://guides.nynhp.org/red-banded-hairstreak/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.116822/Calycopis_cecrops/
Calypso bulbosa var. americana,https://guides.nynhp.org/status/2.153565/,Calypso,Monocotyledoneae (Monocots),Orchidales,Orchidaceae (Orchid Family),G5T5,SH,,Endangered,,Y,P,https://guides.nynhp.org/calypso/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.153565/Calypso_bulbosa_var_americana/
Cambarunio iris,https://guides.nynhp.org/status/2.1090012/,Rainbow,Bivalvia (Bivalves),Unionoida (Freshwater Mussels),Unionidae (Unionid Mussels),G4G5,S2S3,,,Yes (high priority),Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1090012/Cambarunio_iris/
Cambarus bartonii,https://guides.nynhp.org/status/2.872128/,Appalachian Brook Crayfish,Malacostraca (Malacostracans),Decapoda (decapods),Cambaridae (Crayfishes),G5,S3,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.872128/Cambarus_bartonii/
Cambarus carinirostris,https://guides.nynhp.org/status/2.117847/,Rock Crawfish,Malacostraca (Malacostracans),Decapoda (decapods),Cambaridae (Crayfishes),G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.117847/Cambarus_carinirostris/
Cambarus robustus,https://guides.nynhp.org/status/2.963538/,A Crayfish,Malacostraca (Malacostracans),Decapoda (decapods),Cambaridae (Crayfishes),G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.963538/Cambarus_robustus/
Campanulastrum americanum,https://guides.nynhp.org/status/2.155991/,Tall Bellflower,Dicotyledoneae (Dicots),Campanulales,Campanulaceae (Bellflower Family),G5,S1,,Endangered,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.155991/Campanulastrum_americanum/
Campeloma decisum,https://guides.nynhp.org/status/2.108252/,Pointed Campeloma,Gastropoda (Gastropods),Architaenioglossa,Viviparidae,G5,S5,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.108252/Campeloma_decisum/
Campeloma rufum,https://guides.nynhp.org/status/2.113492/,,Gastropoda (Gastropods),Architaenioglossa,Viviparidae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.113492/Campeloma_rufum/
Campostoma anomalum,https://guides.nynhp.org/status/2.844144/,Central Stoneroller,Actinopterygii (Ray-finned Fishes),Cypriniformes (Minnows and Suckers),Leuciscidae,G5,S5,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.844144/Campostoma_anomalum/
Camptorhynchus labradorius,https://guides.nynhp.org/status/2.101134/,Labrador Duck,Aves (Birds),Anseriformes (Waterfowl),Anatidae,GX,SXN,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101134/Camptorhynchus_labradorius/
Campylostelium saxicola,https://guides.nynhp.org/status/2.126657/,Sandstone Swan Moss,Bryopsida,Grimmiales,Ptychomitriaceae,G3G5,SH,,,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.126657/Campylostelium_saxicola/
Canis familiaris,https://guides.nynhp.org/status/2.100911/,Feral Dog,Mammalia (Mammals),Carnivora (Carnivores),Canidae,G5TNA,SNA,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100911/Canis_familiaris/
Canis latrans,https://guides.nynhp.org/status/2.102680/,Coyote,Mammalia (Mammals),Carnivora (Carnivores),Canidae,G5,S5,,Game with open season,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102680/Canis_latrans/
Canis lupus,https://guides.nynhp.org/status/2.105212/,Gray Wolf,Mammalia (Mammals),Carnivora (Carnivores),Canidae,G5,SX,,Endangered,,W,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105212/Canis_lupus/
Capnia vernalis,https://guides.nynhp.org/status/2.107638/,,Insecta (Insects),Plecoptera (Stoneflies),Capniidae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.107638/Capnia_vernalis/
Capnura manitoba,https://guides.nynhp.org/status/2.110311/,,Insecta (Insects),Plecoptera (Stoneflies),Capniidae,G4,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.110311/Capnura_manitoba/
Caranx hippos,https://guides.nynhp.org/status/2.105659/,Crevalle Jack,Actinopterygii (Ray-finned Fishes),Carangiformes,"Carangidae (jacks, amberjacks, pompanos)",G5,SNRN,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105659/Caranx_hippos/
Carassius auratus,https://guides.nynhp.org/status/2.106481/,Goldfish,Actinopterygii (Ray-finned Fishes),Cypriniformes (Minnows and Suckers),Cyprinidae (minnows and carps),G5,SNA,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106481/Carassius_auratus/
Carcharhinus obscurus,https://guides.nynhp.org/status/2.101390/,Dusky Shark,Chondrichthyes (Cartilaginous Fishes),Carcharhiniformes,Carcharhinidae (requiem sharks),G3,S2S3,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101390/Carcharhinus_obscurus/
Carcharhinus plumbeus,https://guides.nynhp.org/status/2.105518/,Sandbar Shark,Chondrichthyes (Cartilaginous Fishes),Carcharhiniformes,Carcharhinidae (requiem sharks),G4,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105518/Carcharhinus_plumbeus/
Carcharhinus sp. 1,https://guides.nynhp.org/status/2.103776/,A Requiem Shark,Chondrichthyes (Cartilaginous Fishes),Carcharhiniformes,Carcharhinidae (requiem sharks),GNR,SNA,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103776/Carcharhinus_sp_1/
Carcharias taurus,https://guides.nynhp.org/status/2.105115/,Sand Tiger,Chondrichthyes (Cartilaginous Fishes),Lamniformes,Odontaspididae (sand tiger sharks),G3G4,S2?,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105115/Carcharias_taurus/
Carcharodon carcharias,https://guides.nynhp.org/status/2.102961/,White shark,Chondrichthyes (Cartilaginous Fishes),Lamniformes,Lamnidae (mackerel sharks),G2,S2S3,,,Yes (high priority),,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102961/Carcharodon_carcharias/
Cardamine rotundifolia,https://guides.nynhp.org/status/2.128888/,Round-leaved Water Cress,Dicotyledoneae (Dicots),Capparales,Brassicaceae (Mustard Family),G4,S1,,Endangered,,Y,P,https://guides.nynhp.org/mountain-watercress/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.128888/Cardamine_rotundifolia/
Cardellina canadensis,https://guides.nynhp.org/status/2.100725/,Canada Warbler,Aves (Birds),Passeriformes (Perching Birds),Parulidae (Wood-Warblers),G5,S5B,,Protected Bird,Yes (high priority),,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100725/Cardellina_canadensis/
Cardellina pusilla,https://guides.nynhp.org/status/2.100788/,Wilson's Warbler,Aves (Birds),Passeriformes (Perching Birds),Parulidae (Wood-Warblers),G5,SNA,,Protected Bird,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100788/Cardellina_pusilla/
Cardinalis cardinalis,https://guides.nynhp.org/status/2.105565/,Northern Cardinal,Aves (Birds),Passeriformes (Perching Birds),"Cardinalidae (Cardinal-Grosbeaks, Cardinals, Grosbeaks, Saltators)",G5,S5,,Protected Bird,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105565/Cardinalis_cardinalis/
Carduelis carduelis,https://guides.nynhp.org/status/2.105792/,European Goldfinch,Aves (Birds),Passeriformes (Perching Birds),Fringillidae,G5,SNA,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105792/Carduelis_carduelis/
Caretta caretta,https://guides.nynhp.org/status/2.105239/,Loggerhead,Chelonia (Turtles),Testudines (Turtles),Cheloniidae,G2G4,S1N,Threatened,Threatened,Yes (high priority),Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105239/Caretta_caretta/
Carex abscondita,https://guides.nynhp.org/status/2.153197/,Thicket Sedge,Monocotyledoneae (Monocots),Cyperales,Cyperaceae (Sedge Family),G5,S1S2,,Endangered,,Y,P,https://guides.nynhp.org/thicket-sedge/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.153197/Carex_abscondita/
Carex adusta,https://guides.nynhp.org/status/2.137376/,Brown Oval Sedge,Monocotyledoneae (Monocots),Cyperales,Cyperaceae (Sedge Family),G5,S1,,,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.137376/Carex_adusta/
Carex aggregata,https://guides.nynhp.org/status/2.152309/,Glomerate Sedge,Monocotyledoneae (Monocots),Cyperales,Cyperaceae (Sedge Family),G5,S2S4,,Endangered,,Y,P,https://guides.nynhp.org/glomerate-sedge/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.152309/Carex_aggregata/
Carex arcta,https://guides.nynhp.org/status/2.159448/,Northern Clustered Sedge,Monocotyledoneae (Monocots),Cyperales,Cyperaceae (Sedge Family),G5,S1,,Endangered,,Y,P,https://guides.nynhp.org/northern-clustered-sedge/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.159448/Carex_arcta/
Carex atherodes,https://guides.nynhp.org/status/2.131667/,Wheat Sedge,Monocotyledoneae (Monocots),Cyperales,Cyperaceae (Sedge Family),G5,S3,,Rare,,P,P,https://guides.nynhp.org/wheat-sedge/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.131667/Carex_atherodes/
Carex atratiformis,https://guides.nynhp.org/status/2.156302/,Scabrous Black Sedge,Monocotyledoneae (Monocots),Cyperales,Cyperaceae (Sedge Family),G5,S1,,Endangered,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.156302/Carex_atratiformis/
Carex backii,https://guides.nynhp.org/status/2.131205/,Back's Sedge,Monocotyledoneae (Monocots),Cyperales,Cyperaceae (Sedge Family),G5,S3,,Threatened,,P,P,https://guides.nynhp.org/backs-sedge/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.131205/Carex_backii/
Carex barrattii,https://guides.nynhp.org/status/2.144090/,Barratt's Sedge,Monocotyledoneae (Monocots),Cyperales,Cyperaceae (Sedge Family),G4,S1,,Endangered,,Y,P,https://guides.nynhp.org/barratts-sedge/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.144090/Carex_barrattii/
Carex bicknellii,https://guides.nynhp.org/status/2.160419/,Bicknell's Sedge,Monocotyledoneae (Monocots),Cyperales,Cyperaceae (Sedge Family),G5T5,S2S3,,Rare,,P,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.160419/Carex_bicknellii/
Carex bigelowii ssp. bigelowii,https://guides.nynhp.org/status/2.128952/,Bigelow's Sedge,Monocotyledoneae (Monocots),Cyperales,Cyperaceae (Sedge Family),G5T5,S2,,Threatened,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.128952/Carex_bigelowii_ssp_bigelowii/
Carex bullata,https://guides.nynhp.org/status/2.128993/,Button Sedge,Monocotyledoneae (Monocots),Cyperales,Cyperaceae (Sedge Family),G5?,S1,,Endangered,,Y,P,https://guides.nynhp.org/button-sedge/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.128993/Carex_bullata/
Carex bushii,https://guides.nynhp.org/status/2.142084/,Bush's Sedge,Monocotyledoneae (Monocots),Cyperales,Cyperaceae (Sedge Family),G5,S3,,Rare,,P,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.142084/Carex_bushii/
Carex buxbaumii,https://guides.nynhp.org/status/2.144092/,Brown Bog Sedge,Monocotyledoneae (Monocots),Cyperales,Cyperaceae (Sedge Family),G5,S2,,Threatened,,Y,P,https://guides.nynhp.org/brown-bog-sedge/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.144092/Carex_buxbaumii/
Carex capillaris,https://guides.nynhp.org/status/2.153306/,Hair-like Sedge,Monocotyledoneae (Monocots),Cyperales,Cyperaceae (Sedge Family),G5,S1,,Endangered,,Y,P,https://guides.nynhp.org/hair-like-sedge/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.153306/Carex_capillaris/
Carex careyana,https://guides.nynhp.org/status/2.132371/,Carey's Sedge,Monocotyledoneae (Monocots),Cyperales,Cyperaceae (Sedge Family),G4G5,S1S2,,Endangered,,Y,P,https://guides.nynhp.org/careys-sedge/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.132371/Carex_careyana/
Carex caroliniana,https://guides.nynhp.org/status/2.132738/,Carolina Sedge,Monocotyledoneae (Monocots),Cyperales,Cyperaceae (Sedge Family),G5,S1,,Endangered,,Y,P,https://guides.nynhp.org/carolina-sedge/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.132738/Carex_caroliniana/
Carex chordorrhiza,https://guides.nynhp.org/status/2.154118/,Creeping Sedge,Monocotyledoneae (Monocots),Cyperales,Cyperaceae (Sedge Family),G5,S2S3,,Threatened,,Y,P,https://guides.nynhp.org/creeping-sedge/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.154118/Carex_chordorrhiza/
Carex collinsii,https://guides.nynhp.org/status/2.130035/,Collins' Sedge,Monocotyledoneae (Monocots),Cyperales,Cyperaceae (Sedge Family),G4,S1,,Endangered,,Y,P,https://guides.nynhp.org/collins-sedge/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.130035/Carex_collinsii/
Carex conjuncta,https://guides.nynhp.org/status/2.143769/,Soft Fox Sedge,Monocotyledoneae (Monocots),Cyperales,Cyperaceae (Sedge Family),G4G5,S1,,Endangered,,Y,P,https://guides.nynhp.org/soft-fox-sedge/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.143769/Carex_conjuncta/
Carex crawei,https://guides.nynhp.org/status/2.151967/,Crawe's Sedge,Monocotyledoneae (Monocots),Cyperales,Cyperaceae (Sedge Family),G5,S2,,Threatened,,Y,P,https://guides.nynhp.org/crawes-sedge/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.151967/Carex_crawei/
Carex crinita var. brevicrinis,https://guides.nynhp.org/status/2.150324/,,Monocotyledoneae (Monocots),Cyperales,Cyperaceae (Sedge Family),G5T5,S1,,,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.150324/Carex_crinita_var_brevicrinis/
Carex cryptolepis,https://guides.nynhp.org/status/2.1354239/,Small Yellow Sedge,Monocotyledoneae (Monocots),Cyperales,Cyperaceae (Sedge Family),GNR,S3,,Rare,,P,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1354239/Carex_cryptolepis/
Carex cumulata,https://guides.nynhp.org/status/2.151618/,Clustered Sedge,Monocotyledoneae (Monocots),Cyperales,Cyperaceae (Sedge Family),G4G5,S2S3,,Threatened,,Y,P,https://guides.nynhp.org/clustered-sedge/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.151618/Carex_cumulata/
Carex davisii,https://guides.nynhp.org/status/2.128486/,Davis' Sedge,Monocotyledoneae (Monocots),Cyperales,Cyperaceae (Sedge Family),G5,S3S4,,Threatened,,P,P,https://guides.nynhp.org/davis-sedge/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.128486/Carex_davisii/
Carex debilis var. debilis,https://guides.nynhp.org/status/2.139460/,White-edged Sedge,Monocotyledoneae (Monocots),Cyperales,Cyperaceae (Sedge Family),G5T5,S2,,Threatened,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.139460/Carex_debilis_var_debilis/
Carex decomposita,https://guides.nynhp.org/status/2.154855/,Large-panicled Sedge,Monocotyledoneae (Monocots),Cyperales,Cyperaceae (Sedge Family),G3G4,S1,,Endangered,,Y,P,https://guides.nynhp.org/cypress-knee-sedge/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.154855/Carex_decomposita/
Carex echinodes,https://guides.nynhp.org/status/2.133437/,Bristly Nodding Sedge,Monocotyledoneae (Monocots),Cyperales,Cyperaceae (Sedge Family),GNR,S1,,Endangered,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.133437/Carex_echinodes/
Carex emmonsii,https://guides.nynhp.org/status/2.148591/,Emmons' Sedge,Monocotyledoneae (Monocots),Cyperales,Cyperaceae (Sedge Family),G5T5,S3,,Rare,,P,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.148591/Carex_emmonsii/
Carex emoryi,https://guides.nynhp.org/status/2.154852/,Emory's Sedge,Monocotyledoneae (Monocots),Cyperales,Cyperaceae (Sedge Family),G5,S2,,Endangered,,Y,P,https://guides.nynhp.org/emorys-sedge/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.154852/Carex_emoryi/
Carex formosa,https://guides.nynhp.org/status/2.152178/,Handsome Sedge,Monocotyledoneae (Monocots),Cyperales,Cyperaceae (Sedge Family),G4?,S2,,Threatened,,Y,P,https://guides.nynhp.org/handsome-sedge/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.152178/Carex_formosa/
Carex frankii,https://guides.nynhp.org/status/2.1348099/,Frank's Sedge,Monocotyledoneae (Monocots),Cyperales,Cyperaceae (Sedge Family),GNR,S2,,Endangered,,Y,P,https://guides.nynhp.org/franks-sedge/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1348099/Carex_frankii/
Carex garberi,https://guides.nynhp.org/status/2.151616/,Elk Sedge,Monocotyledoneae (Monocots),Cyperales,Cyperaceae (Sedge Family),G5,S1,,Endangered,,Y,P,https://guides.nynhp.org/elk-sedge/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.151616/Carex_garberi/
Carex glaucodea,https://guides.nynhp.org/status/2.161738/,Glaucous Sedge,Monocotyledoneae (Monocots),Cyperales,Cyperaceae (Sedge Family),G5T5,S2,,Threatened,,Y,P,https://guides.nynhp.org/glaucous-sedge/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.161738/Carex_glaucodea/
Carex gynocrates,https://guides.nynhp.org/status/2.143345/,Northern Bog Sedge,Monocotyledoneae (Monocots),Cyperales,Cyperaceae (Sedge Family),G5,S1,,Endangered,,Y,P,https://guides.nynhp.org/northern-bog-sedge/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.143345/Carex_gynocrates/
Carex haydenii,https://guides.nynhp.org/status/2.130368/,Cloud Sedge,Monocotyledoneae (Monocots),Cyperales,Cyperaceae (Sedge Family),G5,S2,,Endangered,,Y,P,https://guides.nynhp.org/cloud-sedge/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.130368/Carex_haydenii/
Carex hormathodes,https://guides.nynhp.org/status/2.156624/,Marsh Straw Sedge,Monocotyledoneae (Monocots),Cyperales,Cyperaceae (Sedge Family),G4,S2S3,,Threatened,,Y,P,https://guides.nynhp.org/marsh-straw-sedge/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.156624/Carex_hormathodes/
Carex houghtoniana,https://guides.nynhp.org/status/2.131545/,Houghton's Sedge,Monocotyledoneae (Monocots),Cyperales,Cyperaceae (Sedge Family),G5,S2,,Threatened,,Y,P,https://guides.nynhp.org/houghtons-sedge/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.131545/Carex_houghtoniana/
